['Afsar Zazai', 21.24, 100, 'WK', 2018, 2021, 0.83, 1.2, 0]
['Asghar Afghan', 35.12, 100, 'Bat', 2018, 2021, 1.14, 1.2, 4]
['Hashmatullah Shahidi', 40.66, 100, 'Bat', 2018, 2021, 0.88, 1.2, 0]
['Javed Ahmadi', 20.67, 43.81, 'OpenPartSpin', 2018, 2021, 1.12, 1.03, 0]
['Mohammad Nabi', 12.05, 31.35, 'Spin', 2018, 2019, 0.97, 1.03, 0]
['Mohammad Shahzad', 35.43, 100, 'OpenBat', 2018, 2019, 1.04, 1.2, 0]
['Mujeeb Ur Rahman', 3.17, 100, 'Spin', 2017, 2021, 1, 1.2, 0]
['Rahmat Shah', 29.35, 37.26, 'Bat', 2018, 2021, 1.11, 1.12, 0]
['Rashid Khan', 12.8, 29.71, 'Spin', 2018, 2021, 1.59, 1.11, 2]
['Wafadar Momand', 3.0, 41.18, 'Med', 2018, 2019, 1, 1.2, 0]
['Yamin Ahmadzai', 2.98, 30.81, 'Fast', 2018, 2021, 0.7, 1.12, 0]
['Ihsanullah', 35.45, 100, 'OpenBat', 2019, 2019, 0.87, 1.2, 0]
['Ikram Alikhil', 25.56, 100, 'WK', 2019, 2019, 1, 1.2, 0]
['Waqar Salamkheil', 2.84, 32.5, 'Spin', 2017, 2019, 1, 1.2, 0]
['Ibrahim Zadran', 32.49, 100, 'OpenBat', 2019, 2021, 0.93, 1.2, 0]
['Qais Ahmad', 5.14, 31.23, 'PartSpin', 2018, 2019, 1, 1.14, 0]
['Zahir Khan', 2.6, 31.3, 'Spin', 2019, 2021, 1, 1.2, 0]
['Amir Hamza', 4.63, 30.44, 'Spin', 2019, 2021, 0.81, 1.03, 0]
['Nasir Jamal', 35.64, 100, 'Bat', 2019, 2021, 1.03, 1.2, 0]
['Abdul Malik (1)', 29.66, 100, 'OpenBat', 2017, 2021, 1, 1.2, 0]
['Abdul Wasi', 19.01, 35.91, 'PartSpin', 2018, 2021, 0.5, 0.98, 0]
['Munir Ahmad', 35.46, 100, 'Bat', 2017, 2021, 1, 1.2, 0]
['Sayed Shirzad', 2.84, 33.81, 'Med', 2019, 2019, 1, 0.85, 0]
['Shahidullah', 36.81, 51.47, 'PartSpin', 2017, 2021, 1, 0.8, 0]
