['C Bannerman', 26.59, 100, 'OpenBat', 1877, 1879, 1, 1.2, 0]
['JM Blackham', 26.42, 100, 'WK', 1877, 1894, 1, 1.2, 8]
['BB Cooper', 17.19, 100, 'Bat', 1877, 1877, 1, 1.2, 0]
['TW Garrett', 17.98, 43.08, 'Fast', 1877, 1888, 1, 0.9786381124054992, 0]
['DW Gregory', 13.96, 66.24, 'Bat', 1877, 1879, 1, 1.2, 3]
['EJ Gregory', 16.33, 100, 'Bat', 1877, 1877, 1, 1.2, 0]
['JR Hodges', 13.9, 50.23, 'Med', 1877, 1877, 1, 1.2, 0]
['TP Horan', 25.02, 54.57, 'PartMed', 1877, 1885, 1, 1.036156800231867, 2]
['TK Kendall', 18.71, 51.02, 'Med', 1877, 1877, 1, 1.0049546601850987, 0]
['WE Midwinter', 19.26, 40.75, 'Med', 1877, 1887, 1, 0.9652971679297965, 0]
['NFD Thomson', 20.9, 63.45, 'OpenPartMed', 1877, 1877, 1, 0.8, 0]
['TJD Kelly', 25.19, 100, 'Bat', 1877, 1879, 1, 1.2, 0]
['WL Murdoch', 48.06, 100, 'Bat', 1877, 1892, 1, 1.2, 16]
['FR Spofforth', 12.47, 29.37, 'Fast', 1877, 1887, 1, 1.1384038670218013, 0]
['FE Allan', 8.69, 32.34, 'Med', 1879, 1879, 1, 1.1594202898550725, 0]
['AC Bannerman', 38.88, 85.86, 'OpenBat', 1879, 1893, 1, 1.2, 0]
['HF Boyle', 12.81, 35.88, 'Med', 1879, 1884, 1, 1.0121745172038088, 0]
['G Alexander', 19.87, 68.63, 'PartMed', 1880, 1884, 1, 1.2, 0]
['GJ Bonnor', 27.03, 92.93, 'Bat', 1880, 1888, 1, 1.2, 0]
['TU Groube', 13.35, 100, 'Bat', 1880, 1880, 1, 1.2, 0]
['PS McDonnell', 46.01, 100, 'OpenBat', 1880, 1888, 1, 1.2, 6]
['WH Moule', 20.95, 100, 'Med', 1880, 1880, 0.7079646017699115, 1.1972930765226446, 0]
['GE Palmer', 19.93, 38.88, 'Spin', 1880, 1886, 1, 1.0224371538306865, 0]
['J Slight', 14.44, 100, 'Bat', 1880, 1880, 1, 1.2, 0]
['WH Cooper', 16.19, 68.21, 'Spin', 1882, 1884, 1, 1.2, 0]
['E Evans', 12.91, 50.23, 'Spin', 1882, 1886, 1, 0.8, 0]
['G Giffen', 36.16, 42.68, 'Med', 1882, 1896, 1, 1.1910214648440276, 4]
['HH Massie', 23.61, 100, 'OpenBat', 1882, 1885, 1, 1.2, 1]
['G Coulthard', 14.39, 100, 'Bat', 1879, 1882, 1, 1.2, 0]
['SP Jones', 29.74, 75.96, 'Bat', 1882, 1888, 1, 1.1874469889737063, 0]
['HJH Scott', 31.15, 81.87, 'Bat', 1884, 1886, 1, 1.2, 3]
['W Bruce', 38.67, 77.79, 'PartMed', 1885, 1895, 1, 1.2, 0]
['AH Jarvis', 20.88, 100, 'WK', 1885, 1895, 1, 1.2, 0]
['AP Marr', 14.89, 86.69, 'PartMed', 1885, 1885, 1, 0.8101851851851851, 0]
['S Morris', 23.36, 78.63, 'OpenMed', 1885, 1885, 1, 1.2, 0]
['HA Musgrove', 16.16, 100, 'Bat', 1885, 1885, 1, 1.2, 0]
['RJ Pope', 14.65, 100, 'Bat', 1885, 1885, 1, 1.2, 0]
['WR Robertson', 14.81, 85.37, 'PartSpin', 1885, 1885, 1, 1.2, 0]
['JW Trumble', 23.98, 68.85, 'PartSpin', 1885, 1886, 1, 1.0373831775700935, 0]
['J Worrall', 30.16, 65.33, 'Bat', 1885, 1899, 1, 1.2, 0]
['PG McShane', 16.43, 85.56, 'PartMed', 1885, 1888, 1, 1.2, 0]
['FH Walters', 18.97, 100, 'Bat', 1885, 1885, 1, 1.2, 0]
['J McIlwraith', 22.5, 100, 'OpenBat', 1886, 1886, 1, 1.2, 0]
['JJ Ferris', 15.16, 33.94, 'Med', 1887, 1892, 1, 0.909902082795219, 0]
['H Moses', 32.46, 100, 'Bat', 1887, 1895, 1, 1.2, 0]
['CTB Turner', 17.75, 28.12, 'Fast', 1887, 1895, 1, 0.8268104425663801, 0]
['RC Allen', 26.13, 100, 'Bat', 1887, 1887, 1, 1.2, 0]
['FJ Burton', 14.95, 100, 'WK', 1887, 1888, 1, 1.2, 0]
['JT Cottam', 18.33, 100, 'Bat', 1887, 1887, 1, 1.2, 0]
['WF Giffen', 12.42, 100, 'Bat', 1887, 1892, 1, 1.2, 0]
['JJ Lyons', 37.7, 79.43, 'OpenBat', 1887, 1897, 1, 1.1690553405167905, 0]
['JD Edwards', 13.28, 100, 'Bat', 1888, 1888, 1, 1.2, 0]
['GHS Trott', 30.57, 54.9, 'PartSpin', 1888, 1898, 1, 1.2, 8]
['SMJ Woods', 26.0, 42.4, 'Fast', 1888, 1896, 1, 1.2, 0]
['JE Barrett', 24.94, 100, 'OpenBat', 1890, 1890, 1, 1.2, 0]
['EJK Burn', 19.13, 100, 'Bat', 1890, 1890, 1, 1.2, 0]
['PC Charlton', 11.21, 53.55, 'Bat', 1890, 1890, 1, 1.2, 0]
['SE Gregory', 30.46, 100, 'Bat', 1890, 1912, 1, 1.2, 6]
['H Trumble', 24.35, 27.47, 'Spin', 1890, 1904, 1, 0.8686398942853183, 2]
['ST Callaway', 13.91, 35.42, 'Fast', 1892, 1895, 1, 0.8, 0]
['H Donnan', 19.33, 73.01, 'Bat', 1892, 1896, 1, 0.9700176366843033, 0]
['RW McLeod', 20.14, 59.05, 'Med', 1892, 1893, 1, 0.8697037998315233, 0]
['H Graham', 25.59, 100, 'Bat', 1893, 1896, 1, 1.2, 0]
['J Darling', 34.88, 100, 'Bat', 1894, 1905, 1, 1.2, 21]
['FA Iredale', 37.04, 100, 'Bat', 1894, 1899, 1, 0.8, 0]
['E Jones', 7.12, 38.28, 'Fast', 1894, 1902, 1, 1.1033584003580814, 0]
['CE McLeod', 24.97, 48.57, 'Med', 1894, 1905, 1, 0.8694663117348423, 0]
['JC Reedman', 17.44, 70.99, 'PartMed', 1894, 1894, 1, 1.0025062656641603, 0]
['A Coningham', 11.0, 50.23, 'Fast', 1895, 1895, 1, 0.9728622631848439, 0]
['J Harry', 17.5, 100, 'Bat', 1895, 1895, 1, 1.2, 0]
['AE Trott', 22.91, 33.07, 'Spin', 1895, 1899, 1, 0.9421200115953232, 0]
['TR McKibbin', 8.85, 38.41, 'Spin', 1895, 1898, 1, 1.126453488372093, 0]
['CJ Eady', 15.56, 48.56, 'Fast', 1896, 1902, 1, 1.1244227294023157, 0]
['C Hill', 49.06, 100, 'Bat', 1896, 1912, 1, 1.2, 10]
['JJ Kelly', 20.79, 100, 'WK', 1896, 1905, 1, 1.2, 0]
['MA Noble', 37.85, 34.63, 'Spin', 1898, 1909, 1, 0.9459963765472121, 15]
['WP Howell', 10.2, 40.73, 'Med', 1898, 1904, 1, 0.8063437725655906, 0]
['FJ Laver', 17.25, 45.45, 'Med', 1899, 1909, 1, 0.9141079861176961, 0]
['VT Trumper', 46.67, 61.56, 'OpenBat', 1899, 1912, 1, 1.2, 0]
['WW Armstrong', 46.02, 39.55, 'Fast', 1902, 1921, 1, 0.8, 10]
['RA Duff', 44.53, 58.8, 'OpenBat', 1902, 1905, 1, 1.0572139303482586, 0]
['AJY Hopkins', 19.59, 46.33, 'PartFast', 1902, 1909, 1, 1.1239100010765422, 0]
['JV Saunders', 3.22, 38.0, 'Spin', 1902, 1908, 1, 1.0991712354966212, 0]
['JPF Travers', 11.2, 66.05, 'PartSpin', 1902, 1902, 1, 0.8, 0]
['A Cotter', 15.59, 40.41, 'Fast', 1904, 1912, 1, 1.2, 0]
['PA McAlister', 21.94, 100, 'OpenBat', 1904, 1909, 1, 1.2, 0]
['DRA Gehrs', 23.96, 100, 'Bat', 1904, 1911, 1, 1.2, 0]
['H Carter', 27.23, 100, 'WK', 1907, 1921, 1, 1.2, 0]
['GR Hazlitt', 9.84, 49.8, 'Spin', 1907, 1912, 1, 0.8696562554528007, 0]
['CG Macartney', 44.39, 35.45, 'PartSpin', 1907, 1926, 1, 0.8, 0]
['VS Ransford', 43.95, 56.25, 'Bat', 1907, 1912, 1, 1.2, 0]
['MJ Hartigan', 21.09, 100, 'Bat', 1908, 1908, 1, 1.2, 0]
["JDA O'Connor", 9.46, 46.16, 'Med', 1908, 1909, 1, 1.071991592222806, 0]
['W Bardsley', 42.18, 100, 'OpenBat', 1909, 1926, 1, 1.2, 2]
['WJ Whitty', 11.02, 37.25, 'Fast', 1909, 1912, 1, 0.8923551872613535, 0]
['C Kelleway', 37.12, 38.02, 'Fast', 1910, 1928, 1, 0.8540452124667935, 0]
['HV Hordern', 16.57, 42.19, 'Spin', 1911, 1912, 0.7124824684431977, 1.0801414734134482, 0]
['RB Minnett', 24.74, 51.61, 'PartFast', 1911, 1912, 1, 1.0626473354423422, 0]
['TJ Matthews', 18.18, 49.6, 'Spin', 1912, 1912, 1, 0.8365555474214523, 0]
['JW McLaren', 8.54, 55.95, 'Fast', 1912, 1912, 1, 1.0491606714628297, 0]
['W Carkeek', 8.5, 100, 'WK', 1912, 1912, 1, 1.2, 0]
['SH Emery', 12.21, 48.85, 'Spin', 1912, 1912, 1, 1.1632252639446885, 0]
['CB Jennings', 18.36, 100, 'OpenBat', 1912, 1912, 1, 1.2, 0]
['DBM Smith', 16.48, 100, 'Bat', 1912, 1912, 1, 1.2, 0]
['ER Mayne', 21.78, 56.38, 'Bat', 1912, 1921, 1, 0.8, 0]
['HL Collins', 40.44, 39.09, 'OpenPartSpin', 1920, 1926, 1, 0.8926357550210762, 11]
['JM Gregory', 33.24, 31.17, 'Fast', 1920, 1928, 1, 1.1205872644636725, 0]
['AA Mailey', 9.27, 32.47, 'Spin', 1920, 1926, 1, 1.2, 0]
['WAS Oldfield', 21.95, 100, 'WK', 1920, 1937, 1, 1.2, 0]
['CE Pellew', 25.28, 71.21, 'Bat', 1920, 1921, 1, 0.9795447997695189, 0]
['J Ryder', 43.61, 45.85, 'PartFast', 1920, 1929, 1, 0.9252072273253665, 5]
['JM Taylor', 31.22, 100, 'Bat', 1920, 1926, 1, 0.9144482828693355, 0]
['RL Park', 20.41, 100, 'Bat', 1921, 1921, 1, 1.2, 0]
['EA McDonald', 8.58, 29.28, 'Fast', 1921, 1921, 1, 1.1315905661247703, 0]
['TJE Andrews', 24.6, 72.83, 'Bat', 1921, 1926, 1, 1.2, 0]
['HSTL Hendry', 20.65, 43.91, 'PartFast', 1921, 1929, 1, 0.8792497069167643, 0]
['WH Ponsford', 46.06, 100, 'OpenBat', 1924, 1934, 1, 1.2, 0]
['AJ Richardson', 25.12, 47.63, 'PartMed', 1924, 1926, 1, 0.8, 0]
['VY Richardson', 22.93, 100, 'Bat', 1924, 1936, 1, 1.2, 5]
['AEV Hartkopf', 19.47, 51.41, 'Spin', 1925, 1925, 0.975609756097561, 1.2, 0]
['CV Grimmett', 13.5, 23.47, 'Spin', 1925, 1936, 1, 0.8615987370026544, 0]
['AF Kippax', 34.79, 61.9, 'Bat', 1925, 1934, 1, 0.8, 0]
['WM Woodfull', 44.59, 100, 'OpenBat', 1926, 1934, 1, 1.2, 25]
['DG Bradman', 94.35, 51.12, 'Bat', 1928, 1948, 1, 1.0424710424710426, 24]
['H Ironmonger', 3.05, 26.72, 'Spin', 1928, 1933, 1, 0.8, 0]
['DD Blackie', 6.91, 38.47, 'Spin', 1928, 1929, 0.5, 0.8491107286288009, 0]
['OE Nothling', 18.73, 65.84, 'Fast', 1928, 1928, 0.8666666666666667, 0.8, 0]
["EL a'Beckett", 17.07, 55.02, 'Fast', 1929, 1932, 1, 0.8, 0]
['RK Oxenham', 14.87, 36.04, 'Med', 1929, 1931, 1, 0.8, 0]
['A Jackson', 31.76, 100, 'OpenBat', 1929, 1931, 1, 1.2, 0]
['AG Fairfax', 23.97, 44.23, 'Fast', 1929, 1931, 1, 1.0143635982386245, 0]
['PM Hornibrook', 6.76, 38.28, 'Med', 1929, 1930, 0.5, 1.0052254566282055, 0]
['TW Wall', 6.34, 42.42, 'Fast', 1929, 1934, 1, 0.9906064877332362, 0]
['SJ McCabe', 46.03, 49.97, 'PartMed', 1930, 1938, 1, 0.9654047650827549, 0]
['A Hurwood', 6.08, 45.04, 'Spin', 1930, 1931, 1, 0.8, 0]
['KE Rigg', 26.68, 100, 'Bat', 1931, 1937, 1, 1.2, 0]
['HC Nitschke', 23.98, 100, 'Bat', 1931, 1931, 1, 1.2, 0]
['PK Lee', 11.44, 51.27, 'Med', 1931, 1933, 1, 1.153134858759111, 0]
['WA Hunt', 8.68, 46.49, 'Spin', 1932, 1932, 1, 0.9634387351778657, 0]
