['Akram Khan', 15.96, 100, 'Bat', 2000, 2003, 0.7551020408163265, 1.2, 0]
['Al Sahariar', 21.33, 100, 'OpenBat', 2000, 2003, 1.0278404815650866, 1.2, 0]
['Aminul Islam', 19.72, 100, 'Bat', 2000, 2002, 0.6973684210526315, 1.2, 0]
['Habibul Bashar', 29.15, 100, 'Bat', 2000, 2008, 1.2055776892430279, 1.2, 18]
['Hasibul Hossain', 7.78, 50.15, 'Fast', 2000, 2001, 1.564516129032258, 1.2, 0]
['Khaled Mashud', 17.97, 100, 'WK', 2000, 2007, 0.6813346228239845, 1.2, 12]
['Mehrab Hossain', 14.48, 52.86, 'OpenBat', 2000, 2003, 0.6531165311653117, 0.8361204013377926, 0]
['Mohammad Rafique', 17.54, 39.23, 'Spin', 2000, 2008, 1.2993865030674847, 0.9140161096460542, 0]
['Naimur Rahman', 12.63, 54.04, 'Spin', 2000, 2002, 0.9170305676855895, 1.1017451971274832, 7]
['Ranjan Das', 7.57, 67.23, 'Fast', 2000, 2000, 1, 1.1207970112079702, 0]
['Shahriar Hossain', 18.66, 100, 'OpenBat', 2000, 2004, 0.8319327731092437, 1.2, 0]
['Javed Omar', 20.82, 100, 'OpenBat', 2001, 2007, 0.7629186072299845, 1.2, 0]
['Manjural Islam', 3.74, 59.84, 'Fast', 2001, 2004, 0.5, 1.0844228235532585, 0]
['Mohammad Sharif', 9.02, 47.74, 'Fast', 2001, 2007, 0.8652482269503546, 1.2, 0]
['Mushfiqur Rahman', 13.88, 49.23, 'Fast', 2001, 2004, 0.614569536423841, 1.2, 0]
['Enamul Haque', 12.59, 46.96, 'Spin', 2001, 2003, 0.6923076923076923, 0.9241567557028659, 0]
['Mohammad Ashraful', 22.07, 54.91, 'PartSpin', 2001, 2013, 0.9215488215488216, 1.2, 13]
['Khaled Mahmud', 12.61, 57.85, 'Med', 2001, 2003, 1.1692307692307693, 1.030595813204509, 9]
['Mashrafe Mortaza', 11.97, 45.83, 'Fast', 2001, 2009, 1.3440134907251264, 1.0465830147019224, 1]
['Sanwar Hossain', 18.05, 54.91, 'PartSpin', 2001, 2003, 0.9286675639300135, 1.2, 0]
['Fahim Muntasir', 11.62, 49.62, 'Spin', 2002, 2002, 1.2093023255813953, 1.1914715719063544, 0]
