
Jamee's 999ers
['AN Cook', 42.89, 185.07, 'OpenBat', 2006, 2018, 0.47050754458161864, 0.743099787685775, 59]
['GC Smith', 44.3, 107.31, 'OpenBat', 2002, 2014, 0.5967793880837359, 1.1887970985291154, 109]
['BC Lara', 52.89, 200.0, 'Bat', 1990, 2006, 0.6051232724143168, 0.9893992932862191, 47]
['A Flower', 52.3, 202.91, 'WK', 1992, 2002, 0.45073335840541556, 2.8673835125448024, 20]
['KC Sangakkara', 52.7, 183.6, 'WK', 2000, 2015, 0.5419106721440433, 1.1111111111111112, 15]
['NJ Astle', 36.13, 47.36, 'PartMed', 1996, 2006, 0.49604388648591624, 0.7636988254076862, 0]
['A Flintoff', 30.0, 30.95, 'Fast', 1998, 2009, 0.6204615136356302, 0.9718020041940928, 11]
['IT Botham', 33.12, 28.04, 'Fast', 1977, 1992, 0.6071220081727963, 1.1081060432424172, 12]
['Wasim Akram', 22.78, 23.76, 'Fast', 1985, 2002, 0.5, 0.9429442701197686, 25]
['AB Agarkar', 16.25, 48.99, 'Fast', 1998, 2006, 0.5282146160962072, 1.1341077216416262, 0]
['Shakib Al Hasan', 37.37, 29.96, 'Spin', 2007, 2017, 0.6210471747019181, 0.9617349787510192, 9]

Sir Don Bradman's XI
['WM Woodfull', 44.59, 387.72, 'OpenBat', 1926, 1934, 0.5, 1.4, 25]
['VM Merchant', 39.25, 122.56, 'OpenBat', 1933, 1951, 0.5, 1.763668430335097, 0]
['DG Bradman', 94.35, 51.12, 'Bat', 1928, 1948, 0.5, 1.0424710424710426, 24]
['GA Headley', 53.74, 124.61, 'Bat', 1930, 1954, 0.5, 1.37592725532424, 1]
['SPD Smith', 59.09, 75.08, 'Bat', 2010, 2018, 0.557683454562195, 1.3656484243560343, 31]
['DR Jardine', 42.37, 135.65, 'Bat', 1928, 1934, 0.5, 3.9682539682539684, 15]
['AC Gilchrist', 44.94, 377.6, 'WK', 1999, 2008, 0.8195997645673926, 1.4, 6]
['R Benaud', 25.63, 28.33, 'Spin', 1952, 1964, 0.5, 0.9314543692953514, 28]
['KR Miller', 37.73, 23.45, 'Fast', 1946, 1956, 0.5, 0.9825970144748163, 0]
['GD McGrath', 7.28, 21.38, 'Fast', 1993, 2007, 0.4082802547770701, 0.8561175474356285, 0]
['RR Lindwall', 21.98, 23.93, 'Fast', 1946, 1960, 0.5, 1.0258363858363857, 1]
