['L Amar Singh', 16.69, 32.94, 'Fast', 1932, 1936, 1, 0.92, 0]
['SHM Colah', 17.12, 100, 'Bat', 1932, 1933, 1, 1.2, 0]
['M Jahangir Khan', 11.45, 40.87, 'Fast', 1932, 1936, 1, 0.99, 0]
['Lall Singh', 14.64, 100, 'Bat', 1932, 1932, 1, 1.2, 0]
['Naoomal Jaoomal', 19.68, 46.49, 'OpenPartSpin', 1932, 1934, 1, 1.2, 0]
['JG Navle', 11.11, 100, 'OpenWK', 1932, 1933, 1, 1.2, 0]
['CK Nayudu', 23.15, 44.27, 'PartSpin', 1932, 1936, 1, 1.05, 4]
['S Nazir Ali', 16.17, 42.24, 'Fast', 1932, 1934, 1, 1.2, 0]
['M Nissar', 6.35, 34.19, 'Fast', 1932, 1936, 1, 1.2, 0]
['PE Palia', 17.86, 38.96, 'Bat', 1932, 1936, 1, 0.8, 0]
['S Wazir Ali', 20.1, 48.91, 'Bat', 1932, 1936, 1, 1.2, 0]
['L Amarnath', 21.54, 30.68, 'Med', 1933, 1952, 1, 0.83, 15]
['LP Jai', 17.73, 100, 'Bat', 1933, 1933, 1, 1.2, 0]
['RJD Jamshedji', 9.5, 38.78, 'Spin', 1933, 1933, 1, 1.2, 0]
['VM Merchant', 35.17, 46.0, 'OpenBat', 1933, 1951, 1, 1.2, 0]
['L Ramji', 7.56, 39.08, 'Fast', 1933, 1933, 1, 1.09, 0]
['Dilawar Hussain', 20.12, 100, 'OpenWK', 1934, 1936, 1, 1.2, 0]
['MJ Gopalan', 14.2, 39.33, 'Fast', 1934, 1934, 1, 0.8, 0]
['S Mushtaq Ali', 24.2, 43.36, 'OpenPartSpin', 1934, 1952, 1, 1.2, 0]
['CS Nayudu', 10.63, 39.48, 'PartSpin', 1934, 1952, 1, 1.2, 0]
['Yuvraj of Patiala', 13.22, 100, 'Bat', 1934, 1934, 1, 1.2, 0]
['DD Hindlekar', 10.11, 100, 'WK', 1936, 1946, 1, 1.2, 0]
['Vizianagram', 10.31, 100, 'Bat', 1936, 1936, 1, 1.2, 0]
['KR Meherhomji', 8.77, 100, 'WK', 1936, 1936, 1, 1.2, 0]
['C Ramaswami', 19.89, 100, 'Bat', 1936, 1936, 1, 1.2, 0]
['M Baqa Jilani', 10.58, 50.88, 'Med', 1936, 1936, 1, 1.2, 0]
['Gul Mohammad', 17.45, 48.2, 'Bat', 1946, 1956, 1, 0.82, 0]
['VS Hazare', 47.43, 43.6, 'PartMed', 1946, 1953, 1, 1.12, 14]
['AH Kardar', 24.37, 42.5, 'PartSpin', 1946, 1958, 1, 0.93, 23]
['MH Mankad', 32.27, 33.14, 'OpenSpin', 1946, 1959, 1, 0.95, 6]
['RS Modi', 37.0, 54.97, 'Bat', 1946, 1952, 1, 1.2, 0]
['Nawab of Pataudi snr', 25.29, 100, 'Bat', 1932, 1946, 1, 1.2, 3]
['SG Shinde', 9.21, 54.93, 'Spin', 1946, 1952, 1, 1.2, 0]
['CT Sarwate', 16.88, 41.3, 'OpenPartSpin', 1946, 1951, 1, 1.2, 0]
['SW Sohoni', 16.89, 56.48, 'Med', 1946, 1951, 1, 0.97, 0]
['HR Adhikari', 31.35, 53.24, 'Bat', 1947, 1959, 1, 1.2, 1]
['JK Irani', 10.0, 100, 'WK', 1947, 1947, 1, 1.2, 0]
['G Kishenchand', 23.55, 100, 'Bat', 1947, 1952, 1, 1.2, 0]
['KM Rangnekar', 21.07, 100, 'Bat', 1947, 1948, 0.85, 1.2, 0]
['Amir Elahi', 10.3, 39.42, 'PartSpin', 1947, 1952, 1, 1.2, 0]
['DG Phadkar', 33.16, 37.45, 'Fast', 1947, 1958, 1, 1.01, 0]
['K Rai Singh', 16.65, 100, 'Bat', 1948, 1948, 1, 1.2, 0]
['PK Sen', 12.95, 100, 'WK', 1948, 1952, 1, 1.2, 0]
['CR Rangachari', 4.26, 44.14, 'Fast', 1948, 1948, 1, 1.2, 0]
['KC Ibrahim', 26.7, 100, 'OpenBat', 1948, 1949, 1, 1.2, 0]
['KK Tarapore', 6.22, 48.66, 'Spin', 1948, 1948, 1, 1.2, 0]
['PR Umrigar', 45.83, 45.66, 'PartSpin', 1948, 1962, 1, 0.85, 8]
['SA Banerjee', 7.16, 44.5, 'Med', 1948, 1948, 1, 1.2, 0]
['Ghulam Ahmed', 9.04, 34.32, 'Spin', 1948, 1958, 1, 0.97, 3]
['NR Chowdhury', 4.16, 50.87, 'Med', 1949, 1951, 1, 1.03, 0]
