['L Amar Singh', 'Right arm fast medium', 7, 292, '', 13, 2182, 858, 28, 1932, 1936, 92, 3344, 24.23, 506, 18.35, 1910, 0, 0, 0]
['SHM Colah', 'Right arm medium', 2, 69, '', 4, '-', '-', '-', 1932, 1933, 75, 3578, 29.08, 6, 46.5, 1902, 0, 0, 0]
['M Jahangir Khan', 'Right arm fast medium', 4, 39, '', 7, 606, 255, 4, 1932, 1936, 111, 3327, 22.32, 328, 25.34, 1910, 0, 0, 0]
['Lall Singh', '', 1, 44, '', 2, '-', '-', '-', 1932, 1932, 32, 1123, 24.95, 1, 59.0, 1909, 0, 0, 0]
['Naoomal Jaoomal', 'Legbreak', 3, 108, '', 4, 108, 68, 2, 1932, 1934, 84, 4140, 32.59, 108, 27.54, 1904, 0, 0, 5]
['JG Navle', '', 2, 42, '', 4, '-', '-', '-', 1932, 1933, 65, 1976, 19.18, 0, '-', 1902, 0, 2, 4]
['CK Nayudu', 'Right arm offbreak', 7, 350, '', 14, 858, 386, 9, 1932, 1936, 207, 11825, 35.94, 411, 29.28, 1895, 4, 0, 0]
['S Nazir Ali', 'Right arm fast medium', 2, 30, '', 4, 138, 83, 4, 1932, 1934, 75, 3440, 30.17, 158, 25.49, 1906, 0, 0, 0]
['M Nissar', 'Right arm fast medium', 6, 55, '', 8, 1211, 707, 25, 1932, 1936, 93, 1120, 10.98, 396, 17.7, 1910, 0, 0, 0]
['PE Palia', 'Slow left arm orthodox', 2, 29, '', 3, 42, 13, 0, 1932, 1936, 100, 4536, 32.4, 208, 24.06, 1910, 0, 0, 0]
['S Wazir Ali', 'Right arm medium', 7, 237, '', 14, 30, 25, 0, 1932, 1936, 121, 7212, 38.77, 34, 30.67, 1903, 0, 0, 2]
['L Amarnath', 'Right arm medium', 24, 878, '', 36, 4241, 1481, 45, 1933, 1952, 186, 10426, 41.37, 463, 22.98, 1911, 15, 0, 0]
['LP Jai', '', 1, 19, '', 2, '-', '-', '-', 1933, 1933, 67, 3231, 31.99, 3, 44.66, 1902, 0, 0, 0]
['RJD Jamshedji', 'Slow left arm orthodox', 1, 5, '', 0, 210, 137, 3, 1933, 1933, 29, 291, 11.19, 134, 22.12, 1892, 0, 0, 0]
['VM Merchant', 'Right arm medium', 10, 859, '', 18, 54, 40, 0, 1933, 1951, 150, 13470, 71.64, 65, 32.12, 1911, 0, 0, 12]
['L Ramji', 'Right arm fast', 1, 1, '', 2, 138, 64, 0, 1933, 1933, 27, 325, 8.55, 125, 17.37, 1900, 0, 0, 0]
['Dilawar Hussain', '', 3, 254, '', 6, '-', '-', '-', 1934, 1936, 57, 2394, 28.16, 0, '-', 1907, 0, 3, 3]
['MJ Gopalan', 'Right arm fast medium', 1, 18, '', 1, 114, 39, 1, 1934, 1934, 78, 2916, 24.92, 194, 24.2, 1909, 0, 0, 0]
['S Mushtaq Ali', 'Slow left arm orthodox', 11, 612, '', 19, 378, 202, 3, 1934, 1952, 226, 13213, 35.9, 162, 29.34, 1914, 0, 0, 16]
['CS Nayudu', 'Legbreak googly', 11, 147, '', 16, 522, 359, 2, 1934, 1952, 174, 5786, 23.9, 647, 26.54, 1914, 0, 0, 0]
['Yuvraj of Patiala', '', 1, 84, '', 2, '-', '-', '-', 1934, 1934, 52, 1629, 20.88, 50, 30.74, 1913, 0, 0, 0]
['DD Hindlekar', '', 4, 71, '', 5, '-', '-', '-', 1936, 1946, 96, 2439, 17.05, 0, '-', 1909, 0, 4, 2]
['Vizianagram', '', 3, 33, '', 4, '-', '-', '-', 1936, 1936, 47, 1228, 18.6, 4, 34.75, 1905, 0, 0, 0]
['KR Meherhomji', '', 1, 0, '', 0, '-', '-', '-', 1936, 1936, 30, 656, 15.61, 0, '-', 1911, 0, 1, 0]
['C Ramaswami', 'Right arm bowler', 2, 170, '', 3, '-', '-', '-', 1936, 1936, 53, 2400, 28.91, 30, 33.06, 1896, 0, 0, 0]
['M Baqa Jilani', 'Right arm medium', 1, 16, '', 1, 90, 55, 0, 1936, 1936, 31, 928, 18.55, 83, 19.93, 1911, 0, 0, 0]
['Gul Mohammad', 'Left arm medium', 9, 205, '', 16, 77, 24, 2, 1946, 1956, 118, 5614, 33.81, 107, 27.2, 1921, 0, 0, 0]
['VS Hazare', 'Right arm medium', 30, 2192, '', 46, 2840, 1220, 20, 1946, 1953, 238, 18740, 58.38, 595, 24.61, 1915, 14, 0, 0]
['AH Kardar', 'Slow left arm orthodox', 26, 927, '', 39, 2712, 954, 21, 1946, 1958, 174, 6832, 29.83, 344, 24.55, 1925, 23, 0, 0]
['MH Mankad', 'Slow left arm orthodox', 44, 2109, '', 67, 14686, 5236, 162, 1946, 1959, 233, 11591, 34.7, 782, 24.53, 1917, 6, 0, 40]
['RS Modi', 'Right arm medium', 10, 736, '', 16, 30, 14, 0, 1946, 1952, 105, 7529, 53.02, 32, 38.31, 1924, 0, 0, 0]
['Nawab of Pataudi snr', '', 6, 199, '', 10, '-', '-', '-', 1932, 1946, 127, 8750, 48.61, 15, 35.26, 1910, 3, 0, 0]
['SG Shinde', 'Legbreak googly', 7, 85, '', 6, 1515, 717, 12, 1946, 1952, 79, 871, 14.04, 230, 32.59, 1923, 0, 0, 0]
['CT Sarwate', 'Right arm offbreak, Legbreak', 9, 208, '', 16, 658, 374, 3, 1946, 1951, 171, 7430, 32.73, 494, 23.54, 1920, 0, 0, 9]
['SW Sohoni', 'Right arm medium', 4, 83, '', 5, 532, 202, 2, 1946, 1951, 108, 4307, 28.71, 232, 32.96, 1918, 0, 0, 0]
['HR Adhikari', 'Legbreak', 21, 872, '', 28, 170, 82, 3, 1947, 1959, 152, 8683, 41.74, 49, 37.93, 1919, 1, 0, 0]
['JK Irani', '', 2, 3, 22, 1, '-', '-', '-', 1947, 1947, 22, 430, 17.2, 0, '-', 1923, 0, 2, 0]
['G Kishenchand', 'Legbreak', 5, 89, '', 10, '-', '-', '-', 1947, 1952, 127, 7187, 47.91, 37, 31.94, 1925, 0, 0, 0]
['KM Rangnekar', 'Right arm medium', 3, 33, 78, 6, '-', '-', '-', 1947, 1948, 85, 4602, 41.83, 21, 40.95, 1917, 0, 0, 0]
['Amir Elahi', 'Right arm medium, Legbreak', 6, 82, '', 8, 400, 248, 7, 1947, 1952, 125, 2562, 16.85, 513, 25.77, 1908, 0, 0, 1]
['DG Phadkar', 'Right arm fast medium, Right arm offbreak', 31, 1229, '', 38, 5994, 2285, 62, 1947, 1958, 133, 5377, 36.08, 466, 22.04, 1925, 0, 0, 0]
