['RC Blunt', 25.53, 50.58, 'PartSpin', 1930, 1932, 0.5, 1.2006512006512007, 0]
['CS Dempster', 40.4, 198.87, 'OpenBat', 1930, 1933, 0.5, 4.743083003952569, 0]
['GR Dickinson', 9.95, 44.97, 'Fast', 1930, 1932, 0.5, 1.2934220251293422, 0]
['H Foley', 12.65, 387.72, 'OpenBat', 1930, 1930, 0.5, 1.4, 0]
['M Henderson', 7.89, 50.44, 'Fast', 1930, 1930, 0.5, 1.6998671978751663, 0]
['KC James', 11.45, 397.75, 'WK', 1930, 1933, 0.5, 1.4, 0]
['TC Lowry', 21.46, 131.58, 'Bat', 1930, 1931, 0.5, 0.9960159362549803, 7]
['WE Merritt', 11.53, 38.91, 'Spin', 1930, 1931, 0.5, 1.5757482888956995, 0]
['ML Page', 21.0, 51.83, 'PartSpin', 1930, 1937, 0.5, 1.4285125329815302, 7]
['AW Roberts', 19.82, 45.89, 'PartMed', 1930, 1937, 0.5, 1.0671977124183005, 0]
['EG McLeod', 17.67, 135.09, 'Bat', 1930, 1930, 0.5, 0.9960159362549803, 0]
['JE Mills', 21.45, 397.75, 'OpenBat', 1930, 1933, 0.5, 1.4, 0]
['GL Weir', 22.54, 61.05, 'PartMed', 1930, 1937, 0.5, 1.4322916666666667, 0]
['CFW Allcott', 17.16, 49.76, 'PartSpin', 1930, 1932, 0.5, 1.0680723367290532, 0]
['HM McGirr', 17.57, 45.98, 'PartMed', 1930, 1930, 0.5, 1.5272244355909694, 0]
['AM Matheson', 13.3, 47.63, 'PartMed', 1930, 1931, 0.5, 1.1528354666440621, 0]
['IB Cromb', 17.8, 47.34, 'Fast', 1931, 1932, 0.5, 1.091897233201581, 0]
['JL Kerr', 18.39, 381.92, 'Bat', 1931, 1937, 0.5, 1.4, 0]
['HG Vivian', 25.6, 43.38, 'OpenSpin', 1931, 1937, 0.5, 1.1316504576659039, 0]
['DC Cleverley', 3.25, 127.76, 'PartFast', 1932, 1946, 0.5, 1.3565689241364918, 0]
['J Newman', 10.4, 76.34, 'PartMed', 1932, 1933, 0.5, 1.417344803534062, 0]
['DL Freeman', 7.0, 94.04, 'PartSpin', 1933, 1933, 0.5, 1.6568627450980393, 0]
['HD Smith', 11.26, 74.9, 'PartFast', 1933, 1933, 0.5, 2.215686274509804, 0]
['PE Whitelaw', 21.67, 387.97, 'OpenBat', 1933, 1933, 0.5, 1.4, 0]
['JA Dunning', 7.35, 49.0, 'PartMed', 1933, 1937, 0.5, 1.3813393107312972, 0]
['J Cowie', 6.0, 28.14, 'Fast', 1937, 1949, 0.5, 1.1421768547113322, 0]
['MP Donnelly', 31.21, 121.24, 'Bat', 1937, 1949, 0.5, 1.5936254980079683, 0]
['WA Hadlee', 23.78, 345.42, 'Bat', 1937, 1951, 0.5, 1.4, 8]
['DAR Moloney', 17.86, 135.07, 'Bat', 1937, 1937, 0.5, 1.7374517374517375, 0]
['EWT Tindill', 14.02, 353.36, 'WK', 1937, 1947, 0.5, 1.4, 0]
['WM Wallace', 21.3, 181.82, 'Bat', 1937, 1953, 0.5, 2.032520325203252, 2]
['N Gallichan', 10.38, 46.31, 'Spin', 1937, 1937, 0.5, 0.9915759915759916, 0]
['WM Anderson', 17.73, 375.47, 'OpenBat', 1946, 1946, 0.5, 1.4, 0]
['C Burke', 9.13, 41.29, 'Spin', 1946, 1946, 0.5, 1.1363636363636365, 0]
['LA Butterfield', 9.68, 123.4, 'PartFast', 1946, 1946, 0.5, 0.7692307692307694, 0]
['DAN McRae', 9.64, 124.97, 'PartMed', 1946, 1946, 0.5, 1.3095238095238098, 0]
['CG Rowe', 9.21, 375.47, 'Bat', 1946, 1946, 0.5, 1.4, 0]
['VJ Scott', 28.75, 134.07, 'OpenBat', 1946, 1952, 0.5, 1.9943019943019946, 0]
['TB Burtt', 13.91, 35.26, 'Spin', 1947, 1953, 0.5, 1.1719865171465633, 0]
['RH Scott', 16.3, 58.19, 'PartMed', 1947, 1947, 0.5, 1.3518450858604312, 0]
['FB Smith', 23.08, 398.14, 'Bat', 1947, 1952, 0.5, 1.4, 0]
['CA Snedden', 7.47, 131.15, 'PartSpin', 1947, 1947, 0.5, 1.207983193277311, 0]
['B Sutcliffe', 42.78, 75.6, 'OpenBat', 1947, 1965, 0.5, 1.7203727474286095, 4]
['DD Taylor', 16.96, 410.12, 'Bat', 1947, 1956, 0.5, 1.4, 0]
['HB Cave', 9.76, 43.62, 'Med', 1949, 1958, 0.5, 0.9688476194879043, 9]
['FLH Mooney', 16.13, 205.06, 'WK', 1949, 1954, 0.5, 0.0, 0]
['GO Rabone', 24.85, 47.92, 'PartSpin', 1949, 1955, 0.5, 1.2172135075556691, 5]
['JR Reid', 35.16, 35.73, 'PartFast', 1949, 1965, 0.5, 0.9786407766990292, 34]
['GF Cresswell', 3.21, 37.9, 'Med', 1949, 1951, 0.5, 1.1668331668331668, 0]
['JA Hayes', 5.72, 41.84, 'Fast', 1951, 1958, 0.5, 1.2240895184610872, 0]
['AR MacGibbon', 21.36, 38.58, 'Fast', 1951, 1958, 0.5, 1.0269763549788147, 0]
['AM Moir', 14.13, 46.23, 'Spin', 1951, 1959, 0.5, 1.4527448134551353, 0]
['DD Beard', 15.08, 38.37, 'Med', 1952, 1956, 0.5, 1.008134061801066, 0]
['RWG Emery', 15.83, 49.89, 'OpenBat', 1952, 1952, 0.5, 3.001154290111581, 0]
['JG Leggat', 23.56, 430.42, 'OpenBat', 1952, 1956, 0.5, 1.4, 0]
['RW Blair', 7.24, 32.28, 'Fast', 1953, 1964, 0.5, 1.1410280549802299, 0]
['FE Fisher', 14.39, 61.89, 'PartMed', 1953, 1953, 0.5, 1.0196078431372548, 0]
['EM Meuli', 15.94, 415.66, 'Bat', 1953, 1953, 0.5, 1.4, 0]
['LSM Miller', 17.37, 213.37, 'OpenBat', 1953, 1958, 0.5, 1.345291479820628, 0]
['ME Chapple', 19.01, 44.94, 'Bat', 1953, 1966, 0.5, 0.8874489364699253, 1]
['EW Dempster', 14.57, 61.22, 'PartSpin', 1953, 1954, 0.5, 1.083157478237932, 0]
['MB Poore', 15.91, 52.88, 'PartSpin', 1953, 1956, 0.5, 1.253101454553732, 0]
['GWF Overton', 2.47, 45.27, 'Fast', 1953, 1954, 0.5, 0.9522227758401152, 0]
['JEF Beck', 20.59, 430.42, 'Bat', 1953, 1956, 0.5, 1.4, 0]
['W Bell', 16.04, 89.1, 'PartSpin', 1954, 1954, 0.5, 1.2877535550217822, 0]
['IB Leggat', 12.21, 151.38, 'PartMed', 1954, 1954, 0.5, 0.672645739910314, 0]
['IA Colquhoun', 8.84, 434.15, 'WK', 1955, 1955, 0.5, 1.4, 0]
['SN McGregor', 20.09, 405.41, 'Bat', 1955, 1965, 0.5, 1.4, 0]
['L Watt', 13.88, 434.15, 'Bat', 1955, 1955, 0.5, 1.4, 0]
['JC Alabaster', 9.34, 38.38, 'Spin', 1955, 1972, 0.5, 1.1814768778062454, 0]
['PGZ Harris', 19.59, 139.83, 'Bat', 1955, 1965, 0.5, 0.8733624454148471, 0]
['TG McMahon', 5.8, 426.74, 'WK', 1955, 1956, 0.5, 1.4, 0]
['NS Harford', 16.94, 426.74, 'Bat', 1955, 1958, 0.5, 1.4, 0]
['EC Petrie', 12.24, 405.41, 'WK', 1955, 1966, 0.5, 1.4, 0]
['JW Guy', 19.65, 419.14, 'Bat', 1955, 1961, 0.5, 1.4, 0]
['AF Lissette', 6.31, 48.0, 'Spin', 1956, 1956, 0.5, 1.1584454409566518, 0]
['SC Guillen', 18.39, 430.42, 'WK', 1951, 1956, 0.5, 1.4, 0]
['IM Sinclair', 12.34, 81.03, 'PartSpin', 1956, 1956, 0.5, 1.3857079620469985, 0]
['RT Barber', 13.94, 426.74, 'Bat', 1956, 1956, 0.5, 1.4, 0]
["JW D'Arcy", 14.12, 419.14, 'OpenBat', 1958, 1958, 0.5, 1.4, 0]
['T Meale', 15.28, 419.14, 'Bat', 1958, 1958, 0.5, 1.4, 0]
['WR Playle', 11.93, 405.41, 'Bat', 1958, 1963, 0.5, 1.4, 0]
['JT Sparling', 13.9, 39.42, 'PartSpin', 1958, 1964, 0.5, 1.1944769140853302, 0]
['BA Bolton', 12.94, 412.37, 'OpenBat', 1959, 1959, 0.24686192468619247, 1.4, 0]
['RM Harris', 18.12, 412.37, 'OpenBat', 1959, 1959, 0.21830985915492956, 1.4, 0]
['KW Hough', 30.72, 37.11, 'Fast', 1959, 1959, 1.1071428571428572, 1.001201441730076, 0]
['GA Bartlett', 12.41, 45.55, 'Fast', 1961, 1968, 0.5, 1.1340855719113352, 0]
['PT Barton', 16.38, 394.74, 'Bat', 1961, 1963, 0.5, 1.4, 0]
['FJ Cameron', 8.33, 31.5, 'Med', 1961, 1965, 0.5, 1.0242916101155028, 0]
['AE Dick', 13.4, 392.29, 'WK', 1961, 1965, 0.5, 1.4, 0]
['RC Motz', 11.24, 31.65, 'Fast', 1961, 1969, 0.5, 1.1282534054281366, 0]
['GT Dowling', 30.1, 193.17, 'OpenBat', 1961, 1972, 0.5, 1.330532212885154, 19]
['BW Sinclair', 28.43, 193.17, 'Bat', 1963, 1968, 0.5, 1.3445378151260503, 3]
['BW Yuile', 16.62, 34.2, 'Spin', 1963, 1969, 0.5, 1.0555689310587886, 0]
['BD Morrison', 5.29, 41.09, 'Med', 1963, 1963, 0.5, 1.7558187015108209, 0]
['MJF Shrimpton', 15.33, 45.88, 'PartSpin', 1963, 1974, 0.5, 1.543395796362926, 0]
['SG Gedye', 18.78, 395.65, 'OpenBat', 1964, 1965, 0.5, 1.4, 0]
['JT Ward', 8.04, 386.35, 'WK', 1964, 1968, 0.5, 1.4, 0]
['WP Bradburn', 12.16, 395.65, 'OpenBat', 1964, 1964, 0.5, 1.4, 0]
['RS Cunis', 11.47, 38.8, 'Fast', 1964, 1972, 0.5, 1.114644351464435, 0]
['RO Collinge', 14.15, 30.62, 'Fast', 1965, 1978, 0.5, 1.0633246995003032, 0]
['BE Congdon', 31.65, 42.09, 'PartMed', 1965, 1978, 0.5, 0.9235518586802726, 17]
['RW Morgan', 21.1, 62.19, 'PartSpin', 1965, 1972, 0.5, 1.3724149846382667, 0]
['PB Truscott', 15.33, 389.23, 'OpenBat', 1965, 1965, 0.5, 1.4, 0]
['TW Jarvis', 23.91, 191.88, 'OpenBat', 1965, 1973, 0.5, 0.625, 0]
