['ALF de Mel', 'Right arm medium fast', 17, 326, '', 23, 3518, 2180, 59, 1982, 1986, 42, 918, 19.12, 109, 37.9, 1959, 0, 0, 0]
['DS de Silva', 'Legbreak googly', 12, 406, '', 19, 3031, 1347, 37, 1982, 1984, 66, 1764, 22.05, 241, 28.4, 1942, 2, 0, 0]
['GRA de Silva', 'Slow left arm orthodox', 4, 41, '', 5, 962, 385, 7, 1982, 1982, 53, 317, 7.73, 161, 27.44, 1952, 0, 0, 0]
['RL Dias', 'Right arm offbreak', 20, 1285, '', 35, 24, 17, 0, 1982, 1987, 93, 4296, 32.05, 1, 118.0, 1952, 0, 0, 0]
['HM Goonatilleke', '', 5, 177, '', 8, '-', '-', '-', 1982, 1982, 26, 430, 13.43, 0, '-', 1952, 0, 5, 3]
['LWS Kaluperuma', 'Right arm offbreak', 2, 12, 51, 3, 162, 93, 0, 1982, 1982, 57, 1023, 17.33, 129, 30.47, 1949, 0, 0, 0]
['RS Madugalle', 'Right arm offbreak', 21, 1029, '', 35, 84, 38, 0, 1982, 1988, 81, 3301, 32.04, 2, 79.5, 1959, 2, 0, 0]
['LRD Mendis', 'Right arm medium', 24, 1329, '', 42, '-', '-', '-', 1982, 1988, 121, 6233, 35.82, 1, 52.0, 1952, 19, 0, 1]
['A Ranatunga', 'Right arm medium', 93, 5105, '', 143, 2373, 1040, 16, 1982, 2000, 205, 11641, 44.26, 94, 32.81, 1963, 56, 0, 0]
['B Warnapura', 'Right arm medium', 4, 96, '', 8, 90, 46, 0, 1982, 1982, 57, 2280, 25.05, 13, 48.3, 1953, 0, 0, 8]
['S Wettimuny', 'Right arm medium', 23, 1221, '', 42, 24, 37, 0, 1982, 1987, 55, 2859, 33.63, 2, 37.5, 1956, 0, 0, 43]
['JR Ratnayeke', 'Right arm fast medium', 22, 807, '', 32, 3833, 1972, 56, 1982, 1989, 71, 2225, 28.52, 133, 36.77, 1960, 0, 0, 9]
['AN Ranasinghe', 'Left arm medium, Slow left arm orthodox', 2, 88, '', 4, 114, 69, 1, 1982, 1982, 43, 1664, 23.77, 39, 42.64, 1956, 0, 0, 0]
