['CR Browne', 13.82, 37.27, 'Med', 1928, 1930, 1, 0.82, 0]
['G Challenor', 21.4, 100, 'OpenBat', 1928, 1928, 1, 1.2, 0]
['LN Constantine', 18.13, 32.57, 'Fast', 1928, 1939, 1, 1.14, 0]
['MP Fernandes', 15.14, 100, 'Bat', 1928, 1930, 1, 1.2, 0]
['GN Francis', 6.62, 36.93, 'Fast', 1928, 1933, 1, 1.13, 0]
['HC Griffith', 6.73, 40.89, 'Fast', 1928, 1933, 1, 1.12, 0]
['FR Martin', 24.51, 68.45, 'PartSpin', 1928, 1931, 1, 1.1, 0]
['RK Nunes', 20.2, 100, 'WK', 1928, 1930, 1, 1.2, 0]
['CA Roach', 28.97, 100, 'OpenBat', 1928, 1935, 1, 1.1, 0]
['JA Small', 14.43, 46.09, 'Fast', 1928, 1930, 1, 1.2, 0]
['WH St Hill', 15.59, 100, 'Bat', 1928, 1930, 1, 1.2, 0]
['ELG Hoad', 19.76, 100, 'Bat', 1928, 1933, 1, 1.2, 1]
['OC Scott', 14.49, 49.18, 'Spin', 1928, 1931, 1, 1.2, 0]
['EL Bartlett', 14.03, 100, 'Bat', 1928, 1931, 1, 1.2, 0]
['CV Wight', 17.39, 100, 'Bat', 1928, 1930, 1, 0.8, 0]
['FI de Caires', 23.6, 100, 'Bat', 1930, 1930, 1, 1.2, 0]
['GA Headley', 53.74, 100, 'Bat', 1930, 1954, 1, 1.2, 1]
['EAC Hunte', 20.33, 100, 'OpenWK', 1930, 1930, 1, 1.2, 0]
['JED Sealy', 21.91, 45.0, 'Bat', 1930, 1939, 1, 1.2, 0]
['EL St Hill', 9.47, 59.37, 'Med', 1930, 1930, 1, 0.95, 0]
['LA Walcott', 24.43, 46.41, 'PartSpin', 1930, 1930, 1, 1.2, 0]
['EE Achong', 8.17, 51.95, 'Spin', 1930, 1935, 1, 0.98, 0]
['N Betancourt', 17.36, 100, 'Bat', 1930, 1930, 1, 1.2, 0]
['MG Grell', 16.62, 100, 'PartMed', 1930, 1930, 1, 1.2, 0]
['CEL Jones', 13.08, 58.74, 'PartSpin', 1930, 1935, 1, 0.8, 0]
['IM Barrow', 14.42, 100, 'WK', 1930, 1939, 1, 1.2, 0]
['OC da Costa', 17.36, 62.5, 'PartMed', 1930, 1935, 1, 1.12, 0]
['G Gladstone', 9.69, 100, 'Spin', 1930, 1930, 1, 1.2, 0]
['CC Passailaigue', 29.91, 100, 'Bat', 1930, 1930, 0.59, 1.2, 0]
['LS Birkett', 17.44, 100, 'OpenPartMed', 1930, 1931, 1, 1.2, 0]
['GC Grant', 22.06, 62.73, 'Bat', 1930, 1935, 1, 1.2, 12]
['EA Martindale', 7.61, 39.38, 'Fast', 1933, 1939, 1, 1.17, 0]
['CA Merry', 14.34, 100, 'Bat', 1933, 1933, 1, 1.2, 0]
['VA Valentine', 12.89, 75.88, 'Fast', 1933, 1933, 1, 0.85, 0]
['CA Wiles', 14.56, 100, 'Bat', 1933, 1933, 1, 1.2, 0]
['BJ Sealey', 16.73, 37.33, 'PartMed', 1933, 1933, 1, 0.8, 0]
['GM Carew', 18.77, 53.23, 'OpenBat', 1935, 1948, 1, 0.8, 0]
['CM Christiani', 15.1, 100, 'OpenWK', 1935, 1935, 1, 1.2, 0]
['RS Grant', 17.54, 43.99, 'OpenSpin', 1935, 1939, 1, 0.83, 3]
['LG Hylton', 10.6, 41.48, 'Fast', 1935, 1939, 1, 1.0, 0]
['JM Neblett', 14.37, 66.75, 'Spin', 1935, 1935, 1, 0.81, 0]
['KL Wishart', 18.46, 100, 'OpenBat', 1935, 1935, 1, 1.2, 0]
['RL Fuller', 11.25, 56.69, 'PartFast', 1935, 1935, 1, 0.8, 0]
['GH Mudie', 11.47, 43.5, 'Spin', 1935, 1935, 1, 0.8, 0]
['JH Cameron', 9.58, 48.52, 'Spin', 1939, 1939, 1, 0.88, 0]
['CB Clarke', 6.4, 40.2, 'Spin', 1939, 1939, 1, 1.2, 0]
['JB Stollmeyer', 41.18, 57.7, 'OpenPartSpin', 1939, 1955, 1, 1.2, 13]
['KH Weekes', 24.23, 100, 'Bat', 1939, 1939, 1, 1.2, 0]
['GE Gomez', 28.46, 32.68, 'Med', 1939, 1954, 1, 0.8, 1]
['EAV Williams', 13.88, 42.26, 'Fast', 1939, 1948, 1, 0.8, 0]
['TF Johnson', 9.99, 44.54, 'Fast', 1939, 1939, 1, 1.2, 0]
['VH Stollmeyer', 24.76, 100, 'Bat', 1939, 1939, 1, 1.2, 0]
['RJ Christiani', 26.83, 68.63, 'Bat', 1948, 1954, 1, 1.2, 0]
['W Ferguson', 16.98, 50.07, 'Spin', 1948, 1954, 1, 1.19, 0]
['BBM Gaskin', 7.77, 54.54, 'Med', 1948, 1948, 1, 0.85, 0]
['JDC Goddard', 29.33, 42.52, 'PartSpin', 1948, 1957, 1, 0.95, 22]
['PEW Jones', 7.43, 42.85, 'Fast', 1948, 1951, 1, 1.06, 0]
['CL Walcott', 61.0, 57.58, 'WK', 1948, 1960, 1, 0.92, 0]
['ED Weekes', 60.91, 73.52, 'Bat', 1948, 1958, 1, 1.2, 0]
['AG Ganteaume', 22.25, 100, 'OpenBat', 1948, 1948, 1, 1.2, 0]
['FMM Worrell', 52.8, 43.87, 'PartFast', 1948, 1963, 1, 1.01, 15]
['LR Pierre', 3.48, 42.14, 'PartFast', 1948, 1948, 1, 1.2, 0]
['J Trim', 6.5, 42.7, 'Fast', 1948, 1951, 1, 0.95, 0]
['HHH Johnson', 12.35, 39.22, 'Fast', 1948, 1950, 1, 0.8, 0]
['ESM Kentish', 9.11, 43.88, 'Fast', 1948, 1954, 1, 0.87, 0]
['KR Rickards', 23.33, 100, 'Bat', 1948, 1951, 1, 1.2, 0]
['DS Atkinson', 30.37, 41.36, 'Spin', 1948, 1958, 1, 0.84, 7]
['FJ Cameron', 18.68, 77.28, 'Spin', 1948, 1949, 1, 0.9, 0]
['AF Rae', 37.6, 100, 'OpenBat', 1948, 1953, 1, 1.2, 0]
['S Ramadhin', 8.91, 31.46, 'Spin', 1950, 1960, 1, 0.89, 0]
['AL Valentine', 4.77, 32.35, 'Spin', 1950, 1962, 1, 0.88, 0]
['RE Marshall', 26.3, 50.73, 'OpenBat', 1951, 1952, 1, 0.8, 0]
['SC Guillen', 18.39, 100, 'WK', 1951, 1956, 1, 1.2, 0]
['AP Binns', 17.33, 100, 'WK', 1953, 1956, 1, 1.2, 0]
['FM King', 6.93, 53.9, 'Fast', 1953, 1956, 1, 1.09, 0]
['BH Pairaudeau', 22.39, 100, 'OpenBat', 1953, 1957, 1, 1.2, 0]
['RA Legall', 14.06, 100, 'WK', 1953, 1953, 1, 1.2, 0]
['RC Miller', 19.28, 62.13, 'Fast', 1953, 1953, 1, 0.8, 0]
['GL Wight', 23.41, 100, 'Bat', 1953, 1953, 1, 1.2, 0]
['AHP Scott', 10.47, 89.28, 'Spin', 1953, 1953, 1, 1.2, 0]
['MC Frederick', 17.86, 100, 'OpenBat', 1954, 1954, 1, 1.2, 0]
['JKC Holt', 36.95, 100, 'OpenBat', 1954, 1959, 1, 1.2, 0]
['CA McWatt', 20.52, 100, 'WK', 1954, 1955, 1, 1.2, 0]
['GS Sobers', 57.16, 33.67, 'Fast', 1954, 1974, 1, 0.94, 39]
['GL Gibbs', 16.29, 70.03, 'OpenPartSpin', 1955, 1955, 1, 0.8, 0]
['OG Smith', 33.48, 47.59, 'Spin', 1955, 1959, 1, 0.98, 0]
['LS Butler', 15.33, 70.13, 'Fast', 1955, 1955, 1, 1.2, 0]
['CC Depeiaza', 24.15, 100, 'WK', 1955, 1956, 1, 1.2, 0]
['NE Marshall', 18.05, 53.01, 'Spin', 1955, 1955, 1, 0.8, 0]
['DT Dewdney', 3.32, 54.13, 'Fast', 1955, 1958, 1, 1.2, 0]
['HA Furlonge', 20.01, 100, 'OpenBat', 1955, 1956, 1, 1.2, 0]
['AT Roberts', 14.2, 100, 'Bat', 1956, 1956, 1, 1.2, 0]
['R Gilchrist', 5.03, 40.7, 'Fast', 1957, 1959, 1, 1.2, 0]
['RB Kanhai', 45.91, 77.49, 'Bat', 1957, 1974, 1, 1.17, 13]
['NS Asgarali', 19.71, 100, 'OpenBat', 1957, 1957, 1, 1.2, 0]
['FCM Alexander', 29.85, 100, 'WK', 1957, 1961, 1, 1.2, 18]
['ES Atkinson', 16.13, 45.52, 'Fast', 1958, 1959, 1, 0.96, 0]
['CC Hunte', 44.48, 59.63, 'OpenBat', 1958, 1967, 1, 1.04, 0]
['LR Gibbs', 6.76, 28.19, 'Spin', 1958, 1976, 1, 0.84, 0]
['EDAS McMorris', 25.91, 100, 'OpenBat', 1958, 1966, 1, 1.2, 0]
['IS Madray', 8.46, 82.44, 'Spin', 1958, 1958, 1, 1.2, 0]
['JO Taylor', 8.11, 46.52, 'Fast', 1958, 1959, 1, 1.08, 0]
['BF Butcher', 42.64, 43.27, 'Bat', 1958, 1969, 1, 0.89, 0]
['WW Hall', 15.56, 26.1, 'Fast', 1958, 1969, 1, 1.2, 0]
['JS Solomon', 33.55, 63.78, 'PartSpin', 1958, 1965, 1, 0.97, 0]
['MR Bynoe', 22.56, 100, 'OpenBat', 1959, 1967, 1, 0.8, 0]
['RO Scarlett', 16.77, 75.75, 'Spin', 1960, 1960, 1, 0.8, 0]
['CD Watson', 4.09, 51.62, 'Fast', 1960, 1962, 1, 1.2, 0]
['CK Singh', 8.96, 45.63, 'Spin', 1960, 1960, 1, 0.86, 0]
['SM Nurse', 47.09, 51.67, 'Bat', 1960, 1969, 1, 0.8, 0]
['CC Griffith', 15.86, 32.14, 'Fast', 1960, 1969, 1, 1.2, 0]
['PD Lashley', 23.85, 40.24, 'Bat', 1960, 1966, 1, 0.8, 0]
['CW Smith', 22.36, 100, 'OpenBat', 1960, 1962, 1, 1.2, 0]
['JL Hendriks', 15.48, 100, 'WK', 1962, 1969, 1, 1.2, 0]
['SC Stayers', 17.64, 48.07, 'Fast', 1962, 1962, 1, 1.2, 0]
['IL Mendonca', 25.13, 100, 'WK', 1962, 1962, 1, 1.2, 0]
['WV Rodriguez', 14.01, 47.81, 'Spin', 1962, 1968, 1, 1.2, 0]
['DW Allan', 9.13, 100, 'WK', 1962, 1966, 1, 1.2, 0]
['LA King', 11.56, 51.14, 'Fast', 1962, 1968, 1, 0.82, 0]
['MC Carew', 32.27, 50.25, 'OpenPartMed', 1963, 1972, 1, 0.93, 0]
['DL Murray', 22.5, 100, 'WK', 1963, 1980, 1, 1.2, 1]
['AW White', 14.96, 51.82, 'Spin', 1965, 1965, 1, 0.8, 0]
['BA Davis', 22.74, 100, 'OpenBat', 1965, 1965, 1, 1.2, 0]
['DAJ Holford', 22.08, 45.9, 'Spin', 1966, 1977, 1, 1.01, 0]
['CH Lloyd', 46.14, 61.93, 'Bat', 1966, 1984, 1, 0.86, 74]
['GS Camacho', 25.04, 100, 'OpenBat', 1968, 1971, 1, 1.2, 0]
['CA Davis', 43.37, 94.53, 'PartMed', 1968, 1973, 1, 0.91, 0]
['RM Edwards', 6.98, 50.73, 'Fast', 1968, 1969, 1, 1.2, 0]
['RC Fredericks', 41.74, 67.02, 'OpenBat', 1968, 1977, 1, 1.11, 0]
['MLC Foster', 28.82, 55.01, 'PartSpin', 1969, 1978, 1, 0.81, 0]
['VA Holder', 14.04, 32.84, 'Fast', 1969, 1979, 1, 0.96, 0]
['JN Shepherd', 16.83, 34.01, 'Med', 1969, 1971, 1, 0.82, 0]
['TM Findlay', 13.32, 100, 'WK', 1969, 1973, 1, 1.2, 0]
['GC Shillingford', 6.23, 42.28, 'Fast', 1969, 1972, 1, 1.12, 0]
['AG Barrett', 9.49, 51.73, 'Spin', 1971, 1975, 1, 0.91, 0]
['JM Noreiga', 8.65, 45.41, 'Spin', 1971, 1971, 1, 0.91, 0]
['KD Boyce', 22.14, 32.47, 'Fast', 1971, 1976, 1, 1.2, 0]
['DM Lewis', 23.3, 100, 'OpenWK', 1971, 1971, 1, 1.2, 0]
['Inshan Ali', 9.3, 46.91, 'Spin', 1971, 1977, 1, 1.05, 0]
['UG Dowe', 9.84, 50.18, 'Fast', 1971, 1973, 1, 1.2, 0]
['LG Rowe', 43.58, 100, 'Bat', 1972, 1980, 1, 1.2, 0]
['GA Greenidge', 20.79, 85.99, 'OpenPartSpin', 1972, 1973, 1, 1.16, 0]
['AB Howard', 5.62, 58.21, 'Spin', 1972, 1972, 1, 0.91, 0]
['AI Kallicharran', 44.46, 61.19, 'Bat', 1972, 1980, 1, 0.92, 9]
['RR Jumadeen', 6.95, 43.52, 'Spin', 1972, 1979, 1, 0.86, 0]
['ET Willett', 8.7, 46.13, 'Spin', 1973, 1974, 1, 0.87, 0]
['RGA Headley', 22.16, 100, 'OpenBat', 1973, 1973, 0.5, 1.2, 0]
['BD Julien', 27.63, 40.91, 'Fast', 1973, 1977, 1, 0.98, 0]
