['CR Browne', 'Right arm medium', 4, 176, '', 7, 840, 288, 6, 1928, 1930, 74, 2077, 19.97, 278, 22.39, 1890, 0, 0, 0]
['G Challenor', 'Right arm medium', 3, 101, '', 6, '-', '-', '-', 1928, 1928, 95, 5822, 38.55, 54, 23.88, 1888, 0, 0, 6]
['LN Constantine', 'Right arm fast, Right arm medium', 18, 635, '', 33, 3583, 1746, 58, 1928, 1939, 119, 4475, 24.05, 439, 20.48, 1901, 0, 0, 1]
['MP Fernandes', '', 2, 49, '', 4, '-', '-', '-', 1928, 1930, 46, 2087, 28.2, 5, 36.6, 1897, 0, 0, 0]
['GN Francis', 'Right arm fast', 10, 81, '', 14, 1619, 763, 23, 1928, 1933, 62, 874, 12.85, 223, 23.13, 1897, 0, 0, 0]
['HC Griffith', 'Right arm fast', 13, 91, '', 18, 2663, 1243, 44, 1928, 1933, 79, 1204, 15.05, 258, 28.27, 1893, 0, 0, 0]
['FR Martin', 'Slow left arm orthodox', 9, 486, '', 17, 1346, 619, 8, 1928, 1931, 65, 3589, 37.77, 74, 42.55, 1893, 0, 0, 7]
['RK Nunes', '', 4, 245, '', 8, '-', '-', '-', 1928, 1930, 61, 2695, 31.33, 3, 27.66, 1894, 0, 3, 2]
['CA Roach', 'Legbreak', 16, 952, '', 31, 222, 103, 2, 1928, 1935, 98, 4851, 28.04, 5, 105.2, 1904, 0, 0, 28]
['JA Small', 'Right arm medium fast', 3, 79, '', 6, 366, 184, 3, 1928, 1930, 77, 3063, 26.17, 165, 27.81, 1892, 0, 0, 0]
['WH St Hill', 'Right arm medium', 3, 117, '', 6, 12, 9, 0, 1928, 1930, 43, 1928, 27.15, 5, 41.8, 1893, 0, 0, 1]
['ELG Hoad', 'Legbreak googly', 4, 98, '', 8, '-', '-', '-', 1928, 1933, 62, 3502, 38.91, 53, 35.98, 1896, 1, 0, 2]
['OC Scott', 'Legbreak googly', 8, 171, '', 10, 1405, 925, 22, 1928, 1931, 45, 1317, 24.38, 182, 30.52, 1892, 0, 0, 0]
['EL Bartlett', '', 5, 131, '', 7, '-', '-', '-', 1928, 1931, 42, 1581, 23.25, 0, '-', 1906, 0, 0, 0]
['CV Wight', 'Right arm bowler', 2, 67, '', 3, 30, 6, 0, 1928, 1930, 40, 1547, 30.94, 3, 69.66, 1902, 0, 0, 0]
['FI de Caires', 'Right arm bowler', 3, 232, '', 6, 12, 9, 0, 1930, 1930, 18, 945, 28.63, 1, 48.0, 1909, 0, 0, 0]
['GA Headley', 'Legbreak', 22, 2190, '', 36, 398, 230, 0, 1930, 1954, 103, 9921, 69.86, 51, 36.11, 1909, 1, 0, 0]
['EAC Hunte', '', 3, 166, '', 5, '-', '-', '-', 1930, 1930, 15, 472, 20.52, 0, '-', 1905, 0, 3, 4]
['JED Sealy', 'Right arm medium', 11, 478, '', 17, 156, 94, 3, 1930, 1939, 80, 3831, 30.4, 63, 28.6, 1912, 0, 2, 0]
['EL St Hill', 'Right arm medium', 2, 18, '', 4, 558, 221, 3, 1930, 1930, 17, 274, 11.91, 64, 28.62, 1904, 0, 0, 0]
['LA Walcott', 'Right arm offbreak', 1, 40, '', 1, 48, 32, 1, 1930, 1930, 12, 555, 30.83, 16, 29.5, 1894, 0, 0, 0]
['EE Achong', 'Slow left arm orthodox', 6, 81, '', 10, 918, 378, 8, 1930, 1935, 38, 503, 14.37, 110, 30.23, 1904, 0, 0, 0]
['N Betancourt', '', 1, 52, '', 2, '-', '-', '-', 1930, 1930, 18, 442, 17.0, 1, 98.0, 1887, 0, 0, 0]
['MG Grell', 'Right arm medium', 1, 34, '', 2, 30, 17, 0, 1930, 1930, 10, 489, 28.76, 5, 34.4, 1899, 0, 0, 0]
['CEL Jones', 'Slow left arm orthodox', 4, 63, '', 7, 102, 11, 0, 1930, 1935, 27, 917, 21.83, 24, 44.12, 1902, 0, 0, 3]
['IM Barrow', '', 11, 276, '', 17, '-', '-', '-', 1930, 1939, 68, 2551, 23.84, 0, '-', 1911, 0, 10, 7]
['OC da Costa', 'Right arm medium', 5, 153, '', 8, 372, 175, 3, 1930, 1935, 39, 1563, 29.49, 44, 40.13, 1907, 0, 0, 0]
['G Gladstone', 'Slow left arm orthodox', 1, 12, 14, 0, 300, 189, 1, 1930, 1930, 2, 26, '-', 10, 44.1, 1901, 0, 0, 0]
['CC Passailaigue', '', 1, 46, 157, 1, 12, 15, 0, 1930, 1930, 12, 788, 52.53, 1, 56.0, 1901, 0, 0, 0]
['LS Birkett', 'Right arm medium', 4, 136, '', 8, 126, 71, 1, 1930, 1931, 26, 1295, 33.2, 9, 56.0, 1905, 0, 0, 4]
['GC Grant', 'Right arm fast medium', 12, 413, '', 16, 24, 18, 0, 1930, 1935, 81, 3831, 32.19, 19, 51.0, 1907, 12, 0, 0]
['EA Martindale', 'Right arm fast', 10, 58, '', 11, 1605, 804, 37, 1933, 1939, 59, 972, 15.18, 203, 25.64, 1909, 0, 0, 0]
['CA Merry', '', 2, 34, '', 4, '-', '-', '-', 1933, 1933, 37, 1547, 27.14, 33, 22.6, 1911, 0, 0, 0]
['VA Valentine', 'Right arm fast medium', 2, 35, '', 3, 288, 104, 1, 1933, 1933, 24, 500, 17.85, 49, 40.4, 1908, 0, 0, 0]
['CA Wiles', '', 1, 2, '', 2, '-', '-', '-', 1933, 1933, 38, 1766, 27.59, 0, '-', 1892, 0, 0, 0]
['BJ Sealey', 'Right arm medium', 1, 41, '', 2, 30, 10, 1, 1933, 1933, 51, 2115, 29.37, 78, 25.97, 1899, 0, 0, 0]
['GM Carew', 'Slow left arm orthodox', 4, 170, '', 6, 18, 2, 0, 1935, 1948, 39, 2131, 34.37, 13, 46.15, 1910, 0, 0, 5]
['CM Christiani', '', 4, 98, '', 5, '-', '-', '-', 1935, 1935, 28, 658, 16.45, 0, '-', 1913, 0, 4, 4]
['RS Grant', 'Right arm offbreak', 7, 220, '', 10, 986, 353, 11, 1935, 1939, 48, 1883, 28.53, 79, 25.17, 1909, 3, 0, 6]
['LG Hylton', 'Right arm fast', 6, 70, '', 6, 965, 418, 16, 1935, 1939, 40, 843, 18.73, 120, 25.62, 1905, 0, 0, 1]
['JM Neblett', 'Legbreak', 1, 16, '', 1, 216, 75, 1, 1935, 1935, 20, 526, 18.78, 29, 41.55, 1901, 0, 0, 0]
['KL Wishart', '', 1, 52, '', 2, '-', '-', '-', 1935, 1935, 16, 706, 23.53, 0, '-', 1908, 0, 0, 2]
['RL Fuller', 'Right arm fast medium', 1, 1, '', 1, 48, 12, 0, 1935, 1935, 8, 280, 28.0, 12, 43.66, 1913, 0, 0, 0]
['GH Mudie', 'Slow left arm orthodox', 1, 5, '', 1, 174, 40, 3, 1935, 1935, 19, 578, 22.23, 42, 35.45, 1915, 0, 0, 0]
['JH Cameron', 'Legbreak', 2, 6, '', 3, 232, 88, 3, 1939, 1939, 105, 2772, 18.23, 184, 30.77, 1914, 0, 0, 0]
['CB Clarke', 'Legbreak googly', 3, 3, '', 3, 456, 261, 6, 1939, 1939, 97, 1292, 12.3, 333, 26.37, 1918, 0, 0, 0]
['JB Stollmeyer', 'Legbreak googly', 32, 2159, '', 51, 990, 507, 13, 1939, 1955, 117, 7942, 44.61, 55, 45.12, 1921, 13, 0, 55]
['KH Weekes', 'Left arm bowler', 2, 173, '', 3, '-', '-', '-', 1939, 1939, 30, 1731, 40.25, 12, 38.66, 1912, 0, 0, 0]
['GE Gomez', 'Right arm medium', 29, 1243, '', 41, 5236, 1590, 58, 1939, 1954, 126, 6764, 43.63, 200, 25.26, 1919, 1, 0, 0]
['EAV Williams', 'Right arm fast medium', 4, 113, '', 6, 796, 241, 9, 1939, 1948, 42, 1479, 26.89, 116, 29.19, 1914, 0, 0, 0]
['TF Johnson', 'Left arm fast', 1, 9, '', 0, 240, 129, 3, 1939, 1939, 18, 90, 9.0, 50, 21.5, 1917, 0, 0, 0]
['VH Stollmeyer', 'Legbreak googly', 1, 96, '', 1, '-', '-', '-', 1939, 1939, 33, 2096, 42.77, 15, 40.79, 1916, 0, 0, 0]
['RJ Christiani', 'Right arm offbreak', 22, 896, '', 34, 234, 108, 3, 1948, 1954, 88, 5103, 40.5, 18, 60.44, 1920, 0, 0, 0]
['W Ferguson', 'Legbreak', 8, 200, '', 7, 2568, 1165, 34, 1948, 1954, 49, 1225, 23.55, 165, 31.55, 1917, 0, 0, 1]
['BBM Gaskin', 'Right arm medium', 2, 17, '', 3, 474, 158, 2, 1948, 1948, 41, 782, 14.21, 139, 31.66, 1908, 0, 0, 0]
['JDC Goddard', 'Right arm medium, Right arm offbreak', 27, 859, '', 28, 2931, 1050, 33, 1948, 1957, 111, 3769, 33.35, 146, 26.33, 1919, 22, 0, 4]
['PEW Jones', 'Right arm fast', 9, 47, '', 9, 1842, 751, 25, 1948, 1951, 61, 775, 14.09, 169, 26.81, 1917, 0, 0, 0]
['CL Walcott', 'Right arm fast medium', 44, 3798, '', 67, 1194, 408, 11, 1948, 1960, 146, 11820, 56.55, 35, 36.25, 1926, 0, 15, 3]
['ED Weekes', 'Legbreak', 48, 4455, '', 76, 122, 77, 1, 1948, 1958, 152, 12010, 55.34, 17, 43.0, 1925, 0, 0, 1]
['AG Ganteaume', '', 1, 112, '', 1, '-', '-', '-', 1948, 1948, 50, 2785, 34.81, 0, '-', 1921, 0, 0, 1]
['FMM Worrell', 'Left arm fast medium, Left arm slow', 51, 3860, '', 78, 7141, 2672, 69, 1948, 1963, 208, 15025, 54.24, 349, 28.98, 1924, 15, 0, 6]
['LR Pierre', 'Right arm fast medium', 1, '-', '-', 0, 42, 28, 0, 1948, 1948, 35, 131, 6.23, 102, 24.72, 1921, 0, 0, 0]
['J Trim', 'Right arm fast medium', 4, 21, '', 4, 794, 291, 18, 1948, 1951, 34, 386, 11.69, 96, 30.01, 1915, 0, 0, 0]
['HHH Johnson', 'Right arm fast', 3, 38, '', 4, 789, 238, 13, 1948, 1950, 28, 316, 17.55, 68, 23.36, 1910, 0, 0, 0]
['ESM Kentish', 'Right arm fast medium', 2, 1, '', 1, 540, 178, 8, 1948, 1954, 27, 109, 13.62, 78, 26.71, 1916, 0, 0, 0]
['KR Rickards', 'Legbreak', 2, 104, '', 3, '-', '-', '-', 1948, 1951, 37, 2065, 38.96, 1, 128.0, 1923, 0, 0, 1]
['DS Atkinson', 'Right arm medium, Right arm offbreak', 22, 922, '', 29, 5201, 1647, 47, 1948, 1958, 78, 2812, 28.4, 200, 26.45, 1926, 7, 0, 1]
['FJ Cameron', 'Right arm offbreak', 5, 151, '', 6, 786, 278, 3, 1948, 1949, 21, 551, 25.04, 29, 48.65, 1923, 0, 0, 0]
['AF Rae', '', 15, 1016, '', 22, '-', '-', '-', 1948, 1953, 80, 4798, 39.65, 0, '-', 1922, 0, 0, 24]
['S Ramadhin', 'Right arm offbreak', 43, 361, '', 44, 13939, 4579, 158, 1950, 1960, 184, 1092, 8.66, 758, 20.24, 1929, 0, 0, 0]
