['EA Brandes', 9.88, 48.13, 'Fast', 1992, 1999, 0.3611940298507463, 1.035767186547007, 0]
['MG Burmester', 19.88, 64.74, 'PartMed', 1992, 1992, 0.40601503759398494, 1.1400924127770709, 0]
['ADR Campbell', 27.61, 148.75, 'Bat', 1992, 2002, 0.41765307613619757, 0.9123492994460736, 21]
['GJ Crocker', 17.9, 73.59, 'PartFast', 1992, 1992, 0.38764044943820225, 1.0420668459469842, 0]
['A Flower', 52.3, 202.91, 'WK', 1992, 2002, 0.45073335840541556, 2.8673835125448024, 20]
['GW Flower', 29.55, 59.89, 'OpenPartSpin', 1992, 2004, 0.3452511734744832, 0.9646705872753861, 0]
['DL Houghton', 42.73, 201.21, 'Bat', 1992, 1997, 0.4545172306737038, 0.0, 4]
['MP Jarvis', 5.66, 49.48, 'Fast', 1992, 1994, 0.26666666666666666, 0.6735699492965793, 0]
['AJ Pycroft', 22.96, 399.87, 'Bat', 1992, 1992, 0.4021164021164021, 1.4, 0]
['AJ Traicos', 5.98, 58.03, 'Spin', 1970, 1993, 0.14393939393939395, 1.0767141316979598, 0]
['AH Omarshah', 16.12, 90.71, 'PartMed', 1992, 1996, 0.28438228438228436, 1.466275659824047, 0]
['DH Brain', 16.12, 47.75, 'Fast', 1992, 1995, 0.6149732620320856, 1.1029633350075339, 0]
['GA Briant', 13.69, 403.77, 'Bat', 1993, 1993, 0.3333333333333333, 1.4, 0]
['U Ranchod', 10.67, 61.75, 'PartSpin', 1993, 1993, 0.27586206896551724, 1.3636363636363638, 0]
['GK Bruk-Jackson', 15.56, 403.77, 'Bat', 1993, 1993, 0.38235294117647056, 1.4, 0]
['MH Dekker', 15.53, 154.45, 'OpenBat', 1993, 1996, 0.3153409090909091, 0.5454545454545455, 0]
['SG Peall', 11.22, 70.74, 'PartSpin', 1993, 1994, 0.5172413793103449, 0.7444717444717446, 0]
['JA Rennie', 12.77, 73.79, 'PartFast', 1993, 1997, 0.2719298245614035, 0.8861959107956606, 0]
['HH Streak', 22.15, 27.88, 'Fast', 1993, 2005, 0.3706463028496927, 0.9340352041694324, 21]
['GJ Whittall', 29.43, 51.34, 'PartMed', 1993, 2002, 0.4107574911595012, 0.9446980630975057, 0]
['WR James', 21.18, 402.41, 'Bat', 1993, 1994, 0.3961038961038961, 1.4, 0]
['PA Strang', 25.94, 43.57, 'Spin', 1994, 2001, 0.43743482794577687, 0.9347895920334083, 0]
['SV Carlisle', 26.59, 395.13, 'Bat', 1995, 2005, 0.37280701754385964, 1.4, 6]
['HK Olonga', 5.42, 53.8, 'Fast', 1995, 2002, 0.23499361430395913, 1.2338450284365174, 0]
['BC Strang', 12.92, 41.67, 'Med', 1995, 2001, 0.5477031802120141, 0.8596855104163211, 0]
['IP Butchart', 13.62, 143.59, 'Bat', 1995, 1995, 0.3150684931506849, 1.338199513381995, 0]
['ACI Lock', 10.71, 42.67, 'Fast', 1995, 1995, 0.24242424242424243, 1.2773722627737225, 0]
['CB Wishart', 22.14, 395.13, 'Bat', 1995, 2005, 0.45390657296403475, 1.4, 0]
